"country","CostOfLiving_MonthlyCostOfLivingIndexViaLivingCost_USD_2024","costOfLivingLC","CostOfLiving_CostOfLivingIndexVisNumbeo_Index_2024","CostOfLiving_CostOfLivingPlusRentIndexViaNumbeo_Index_2024","CostOfLiving_LocalPurchasingPowerIndexViaNumbeo_Index_2024","NumbeoCoL2023","NumbeoCoLPlusRent2023","NumbeoLocalPurchasingPowerIndex2023","CostOfLiving_CostOfLivingPriceIndexViaExpatisan_Index_2024","costOfLivingByCountry_cl_expatistan"
"India",441,423,22.2,14.6,60.7,22.9,14.6,61.7,49,59
"China",679,752,34.1,24.3,60.5,36.5,26.6,58.2,85,115
"United States",2433,1951,72.9,59.5,,74.2,61,117.7,169,187
"Indonesia",567,548,28.5,18.9,25.8,30.8,20.5,24.7,69,79
"Pakistan",357,370,18.5,11.1,,17.6,10.7,22,,
"Nigeria",355,916,19.3,17.4,,23.2,20,9.4,,
"Brazil",754,601,35.2,22.8,30.1,37.7,23.9,28,72,83
"Bangladesh",423,521,24.9,14.4,25.8,26.2,15.1,26.2,57,68
"Russia",652,656,29.5,20.2,,32.1,21.3,40.2,63,116
"Ethiopia",876,574,43.1,29.8,10.4,42.3,30.3,11,,
"Mexico",982,678,43.8,31.1,,42.4,29.1,39.9,78,85
"Japan",1097,1370,50.7,33.8,,54.3,36.9,94.3,114,147
"Egypt",503,449,29.1,17.9,15.2,21.7,13.1,17.4,48,65
"Philippines",614,601,33.6,21.6,,35.9,23.1,21,,92
"DR Congo",941,748,,,,,,,,
"Vietnam",611,639,30.8,20.8,,34.5,23.2,30.3,,85
"Iran",630,668,26.9,18.4,21.2,28.4,20.1,21.6,,
"Turkey",724,447,33.8,24,,27.1,18.2,32.5,88,59
"Germany",1581,1414,62.7,45.4,101,66,46.5,100.2,132,146
"Thailand",790,831,36,24.8,,38.5,26.2,31.7,,93
"United Kingdom",2183,1929,63.7,49.4,,63.6,48.1,94.3,177,184
"Tanzania",662,760,26,17.5,,28.9,19.4,20,,66
"France",1542,1519,66,45.3,83.4,69.1,47.4,81.5,141,142
"South Africa",815,974,33.8,23.4,,34.5,23.8,78.1,80,95
"Italy",1423,1359,58.9,41,79.5,61,41.3,63.8,126,129
"Kenya",586,654,24.8,16.4,,28.9,18.5,31,,84
"Myanmar",759,864,38.6,27.5,,33.4,25.8,18.5,,
"Colombia",735,574,30.6,20.3,28.1,27.6,18.3,27.9,67,66
"South Korea",1118,1154,64.4,42,,69.2,44.5,83.5,115,139
"Sudan",946,517,,,,,,,,
"Uganda",624,604,30.4,19.4,,31.3,20.3,12.8,,97
"Spain",1383,1260,48.4,36.6,,49.9,36.1,83.6,104,115
"Algeria",472,431,29.5,17.5,25.4,28.6,16.9,24.5,,
"Iraq",754,710,30.2,19.8,42,32.6,21.3,39.2,,
"Argentina",563,494,27.8,17.8,35.8,30.3,19.3,33.9,,
"Afghanistan",524,354,22.8,13.3,22.4,,,,,
"Yemen",505,559,56.1,32.8,,58.5,34.1,16,,
"Canada",2042,1701,68.4,53.1,83.3,68,51.7,90.9,150,176
"Poland",1137,882,41.9,31.1,,44.7,32.3,59.9,130,82
"Morocco",630,644,29.9,19.4,,30.1,19.4,31.2,,76
"Angola",878,896,,,,,,,,
"Ukraine",564,542,28.6,19,,30.7,20.5,31.2,,68
"Uzbekistan",623,529,27.1,20,,26.6,19.4,25.5,,
"Malaysia",582,652,30.5,19.9,,32.3,21.3,57.8,66,79
"Mozambique",1053,1006,43,32.4,,,,,,
"Ghana",478,701,26,18.8,14.8,28.5,24.4,13.7,,
"Peru",765,630,30.9,20.8,,33.6,22.6,28,69,77
"Saudi Arabia",1244,952,47.4,30.7,,50.1,31.9,98.7,106,116
"Madagascar",535,555,25.2,17,,,,,,
"Ivory Coast",1045,1010,44.7,31.5,62.8,44.8,30.5,7.1,,101
"Nepal",392,439,26.9,16.1,,25.9,15.3,21.2,,
"Cameroon",833,688,39.6,29.5,8.4,42.3,30.2,8.7,,
"Venezuela",764,657,39.4,23.4,,41.8,25,11.3,90,101
"Niger",997,950,,,,,,,,
"Australia",2293,1944,,55.6,93.6,75.4,58,89.3,174,174
"North Korea",1592,1540,,,,,,,,
"Syria",486,435,25,15.1,,25.2,15.2,4.7,,
"Mali",509,560,,,,,,,,
"Burkina Faso",734,799,,,,,,,,
"Taiwan",972,1057,49,32.2,,53.3,34.9,67.8,,
"Sri Lanka",509,428,33.2,20.3,,33.8,20.8,14.6,,
"Malawi",361,666,,,,,,,,
"Zambia",935,676,39.7,25.2,,,,,,
"Kazakhstan",725,468,33.5,24,,34.3,25.4,33.1,,63
"Chad",495,540,,,,,,,,
"Chile",936,905,39.9,26.4,36.4,47.7,31.6,33.9,88,90
"Romania",821,652,38.8,25.4,,38.4,24.8,47.5,74,75
"Somalia",811,811,29,17.4,,29.7,17.6,32.4,,
"Senegal",1118,1144,44,33.9,,46,34.7,20.4,,119
"Guatemala",886,857,37.7,25.9,29.7,38.5,26.7,29.2,,
"Netherlands",1945,1778,64.3,50.2,,67.5,50.9,106.9,165,169
"Ecuador",815,756,33.6,21.9,36.4,34.2,22.3,35.8,77,87
"Cambodia",753,692,38.5,25.1,16.9,41.7,27.5,16.1,,100
"Zimbabwe",862,935,37,24.2,,38.7,25.6,17.9,,
"Guinea",1006,877,,,,,,,,
"Benin",717,731,,,,,,,,
"Rwanda",649,633,26.3,18.3,,,,,,
"Burundi",481,560,,,,,,,,
"Bolivia",683,750,28.3,18.4,32.3,30.9,20,29.7,59,
"Tunisia",452,424,28.7,17.4,,27.4,16.7,27.6,,
"South Sudan",489,519,,,,,,,,
"Haiti",511,531,,,,,,,,
"Belgium",1540,1495,63,43.3,90.7,65.8,45.2,90.7,137,137
"Jordan",854,850,43,26.2,,45.3,27.6,34.9,,125
"Dominican Republic",792,711,39,25.8,23.5,43.1,28.2,21.5,,95
"United Arab Emirates",1906,1576,57.8,52.6,,60.7,46.8,118,,179
"Cuba",1347,880,45.6,29,1.7,53,36.2,1.5,,
"Honduras",846,765,37.3,24.5,35.1,37.7,24.6,33.3,,
"Czech Republic",1199,1014,48.6,35.5,64.9,52.8,36.8,67.9,100,100
"Sweden",1578,1515,62.2,43.6,,60.9,42,95.3,141,140
"Tajikistan",649,450,,,,,,,,
"Papua New Guinea",534,530,,,,,,,,
"Portugal",1286,1038,46.6,36.5,,46.1,34.6,49.8,104,111
"Azerbaijan",696,513,31.1,20.2,29.4,30.6,20,28.6,,
"Greece",1146,1008,54.2,34.9,42.1,53.2,34,41.4,100,101
"Hungary",929,817,43.4,28.2,49.8,48,31.2,48.4,86,80
"Togo",667,669,,,,,,,,
"Israel",1838,1774,67.2,50.1,167.1,70,50.1,76.3,140,187
"Austria",1743,1617,72.8,46.4,84.4,68.7,47.2,85.6,129,144
"Belarus",517,504,27.1,18.2,39.6,36.3,23.4,35.9,,
"Switzerland",2896,2497,112.2,84,,117.3,85.6,110.8,228,231
"Sierra Leone",732,745,,,,,,,,
"Laos",1228,888,,,,,,,,
"Turkmenistan",1668,1141,,,,,,,,
"Hong Kong",,,71.5,66.7,84.1,72.4,67,68.8,170,243
"Libya",422,560,21.2,13.3,,23.9,14.9,31.6,,
"Kyrgyzstan",593,430,26.9,19.4,,29.9,21,22.8,,69
"Paraguay",632,546,27.6,19.5,,29.1,19.9,25.3,62,
"Nicaragua",699,633,33.6,21.8,,34.9,22.3,18.7,,
"Bulgaria",773,654,38.7,25.1,52.6,40.3,25.7,49.2,83,75
"Serbia",977,711,38.3,26.2,,40.5,27.9,34.9,88,85
"El Salvador",1033,816,41.1,29.6,22.2,42.3,29.1,21.7,89,97
"Republic of the Congo",554,,,,,,,,,
"Denmark",1923,1837,75.2,53.1,103.3,79.2,56.2,96.9,,175
"Singapore",3000,2169,81.9,77.1,,85.9,89.8,85.9,204,217
"Lebanon",1097,1411,46.3,32.2,,53.1,36.1,19.4,,
"Finland",1537,1536,65.5,44.3,97.3,68.7,46.8,93.8,141,165
"Liberia",499,544,,,,,,,,
"Norway",1924,2074,79.2,54.8,,82.2,56.4,90.7,156,193
"Slovakia",1142,990,47.9,32.4,,47.5,32,51.2,100,102
"Palestine",931,937,43.3,26.8,,45.1,27.7,35.7,100,133
"Central African Republic",486,538,,,,,,,,
"Oman",1098,1086,44.4,29.7,,49.6,33.1,106.2,,
"Ireland",2438,2316,66.5,57.4,82,70.4,57.2,80,157,193
"New Zealand",1950,1782,68.2,49.5,,70.7,51.5,87.3,161,177
"Mauritania",617,781,,,,,,,,
"Costa Rica",1156,852,53.6,36,37,53,35.3,37.9,98,107
"Kuwait",1423,1326,43.4,34.4,,46.1,36.3,106.9,,
"Panama",1198,1092,47.4,35.1,,48.2,35.1,33.3,91,
"Croatia",1140,1001,46.9,31.5,58,47.4,30.9,54.5,108,98
"Georgia",968,538,37.2,26.9,27.9,40.6,30.5,25.2,,
"Eritrea",493,538,,,,,,,,
"Mongolia",792,603,32.7,22.4,,32.3,22.4,21.9,,
"Uruguay",1202,929,55.3,36.3,,61,39.7,40.6,120,134
"Puerto Rico",,,64.4,45.9,,68.5,47.5,55.9,,
"Bosnia and Herzegovina",656,599,34.7,21,47.1,,,,70,84
"Qatar",1870,1856,55,48.1,,59.3,52.6,120.2,,181
"Moldova",770,537,34.6,22.8,,35.9,23.1,34,,56
"Namibia",776,921,30.8,21.1,,31.4,21.5,47.7,,
"Armenia",1067,592,38.6,29.5,32.1,43.1,34.2,28,,
"Lithuania",1107,869,48.4,32.9,,49.9,34.3,54.8,95,105
"Jamaica",1072,829,53.1,34.3,8.5,54.4,35.2,27.8,,
"Albania",795,608,40.8,26.3,31.6,40.4,25.7,28.3,,
"Gambia",521,520,,,,,,,,
"Gabon",690,587,,,,,,,,
"Botswana",610,666,30.1,18.7,56.5,31.9,20,61.9,,76
"Lesotho",530,694,,,,,,,,
"Guinea-Bissau",798,712,,,,,,,,
"Slovenia",1299,1175,49.3,34,,51.6,35.5,59.6,109,119
"Equatorial Guinea",1114,1185,,,,,,,,
"Latvia",1069,938,51.4,32.6,,51,32,50.3,,
"North Macedonia",671,553,34.1,21.1,,32.5,19.8,35.9,,
"Bahrain",1334,1165,53.7,39,83.6,56,40.5,78.1,,141
"Trinidad and Tobago",1171,979,53.6,34.5,,,,,,
"Timor-Leste",513,,,,,,,,,
"Estonia",1204,1040,53,35.2,69,55.9,37,62.7,110,106
"Cyprus",1531,1266,57.1,41.8,59.4,59.2,44.4,52.6,117,
"Mauritius",772,651,39.8,26.2,,41,26.8,28.6,,95
"Eswatini",498,711,,,,,,,,
"Djibouti",547,548,,,,,,,,
"Fiji",775,773,34.8,25.5,64,34.9,25.6,68.8,73,96
"Comoros",586,589,,,,,,,,
"Guyana",928,803,46.2,29.8,21.9,47.9,30.5,20,79,93
"Solomon Islands",1425,1222,,,,,,,,
"Bhutan",455,569,,,,,,,,
"Macau",,,56.2,44,,65,49.6,78.7,121,
"Luxembourg",2200,2163,65.3,54.4,,71.7,59.3,133.2,146,165
"Montenegro",972,720,40.9,29.4,,42.4,29.7,38.2,,
"Suriname",894,714,,,,,,,,
"Malta",1504,1519,55.1,40.9,,59.4,43.7,51.7,121,148
"Maldives",1263,1288,50,37.3,,53.4,39.9,33.8,,
"Cape Verde",708,797,,,,,,,,
"Brunei",1060,1152,50.5,34.8,87,54.2,36,73.5,,
"Belize",899,889,48,30.3,52.4,50,31.2,44.2,,
"Bahamas",2295,1715,88.5,66.3,38,93.7,68.5,37.4,,232
"Iceland",2518,2207,85.7,64.5,109.1,87.7,64.7,100.4,,
"Vanuatu",2066,1829,,,,,,,,
"Barbados",1352,1258,79.4,51.2,34.4,84.2,53.8,34.3,,157
"Sao Tome and Principe",866,880,,,,,,,,
"Samoa",594,1109,,,,,,,,
"Curacao",1385,1222,,,,,,,,
"Saint Lucia",1123,1153,,,,,,,,
"Kiribati",491,511,,,,,,,,
"Seychelles",1608,1725,,,,,,,,
"Grenada",1069,1128,,,,,,,,
"Tonga",975,1035,,,,,,,,
"Jersey",,,,,,82.6,69.6,67.8,,
"Saint Vincent and the Grenadines",1007,,,,,,,,,
"Antigua and Barbuda",1075,1465,,,,,,,,
"Andorra",1600,1232,,,,,,,,159
"Cayman Islands",3374,2844,111.7,94.8,73.7,115.4,98.5,71.4,228,
"Dominica",900,856,,,,,,,,
"Bermuda",,,133.6,113.6,84.3,141.1,118.2,75.9,,292
"Guernsey",,,67.5,57.6,83.2,71.8,60.5,79.2,,
"Saint Kitts and Nevis",1212,1145,,,,,,,,
"Liechtenstein",2315,2306,,,,,,,,
"Monaco",6538,3743,,,,,,,,
"Marshall Islands",1316,1464,,,,,,,,
"San Marino",1228,1168,,,,,,,,
"Palau",1162,1040,,,,,,,,
"Nauru",744,584,,,,,,,,
"Tuvalu",575,608,,,,,,,,
"Vatican City",916,,,,,,,,,